RunNumber    target    charge       TLT   TE_SHMS    TE_HMS SHMS_aero  SHMS_cal   HMS_cal   HMS_cer       all
6474        D2   7.33889    0.9809  0.969388  0.996599  0.929969  0.920183  0.996403    0.9763  0.788867
6475        D2   48.7826  0.981574  0.982783  0.996029  0.943621  0.939335  0.991316  0.967921   0.81719
6476        D2   48.6561  0.982808  0.974843  0.997093  0.947734    0.9428  0.994275  0.972166  0.825073
6477        D2    48.601  0.982481  0.979777  0.995979  0.937057  0.933057   0.99482  0.978595  0.816064
6478        D2   48.8687  0.980987  0.978707  0.995803  0.933561  0.929777   0.99454  0.964094  0.795706
6479        D2   44.4713  0.981533  0.982209   0.99746  0.942661  0.934819  0.991755  0.972603  0.817387
6486        D2   85.6808  0.986763  0.975387   0.99539  0.943408  0.945576  0.992116  0.957352  0.811734
6489        D2   45.6045  0.985441   0.97408  0.994916  0.946099  0.943036  0.989657  0.960967  0.810343
6490        D2   35.3455    0.9795  0.979271  0.995498  0.941293  0.937953  0.990391  0.967044  0.807434
6491        D2   17.7102  0.983212  0.976456  0.996306  0.950456  0.943888  0.992861  0.962564  0.820093
6493        D2   35.1581  0.980251  0.980978  0.996775  0.942661  0.939328  0.990883  0.967955  0.814036
6496        D2   23.1581  0.982637  0.974824  0.996154  0.947903  0.945767  0.991511  0.968298  0.821298
6497        D2   33.8776  0.982399  0.982202  0.994436  0.948811  0.943972  0.989411    0.9724  0.826849
6498        D2   34.5412   0.98332  0.980311  0.996797  0.950461  0.942355  0.988941  0.961914  0.818693
6499        D2   32.9476  0.984136   0.97895  0.996511   0.94583  0.941643  0.990613  0.971775  0.823127
6500        D2    32.738  0.981104  0.974707  0.992583  0.793033  0.939232  0.992999  0.959806  0.673834
6501        D2      30.2  0.977139  0.971098   0.99258  0.821061  0.941805  0.990738  0.960395  0.692996
6506        D2   19.7566  0.981082   0.97619  0.994441  0.797206  0.929432  0.991581  0.973386  0.681114
6507        D2    23.938  0.978892  0.977931  0.996431  0.803752  0.909271  0.991756  0.965377  0.667432
6509        D2   21.7243  0.982966  0.975824  0.997069  0.753761  0.854315  0.987307  0.975442  0.593117
6510        D2   21.9996  0.985235  0.973839  0.994131  0.710339  0.896613  0.992603  0.971692  0.585929
6514        D2   16.0794  0.985407  0.975379  0.995981   0.95386  0.949566  0.989121  0.973286  0.834718
6515        D2    18.826  0.982876  0.982049  0.994392  0.953661  0.949182  0.993668   0.97329  0.840264
6516        D2   11.8454   0.98353  0.984551  0.995439  0.954901  0.955992  0.993996  0.973491  0.851471
6517        D2   18.2733  0.982847   0.97624  0.998706  0.947298  0.943017  0.991308  0.976125  0.828324
6518        D2   25.1226  0.976979  0.952153  0.989848  0.930944  0.936367  0.991167  0.975714  0.776246
6519        D2   67.6762  0.973674  0.974026  0.998101  0.936152   0.93995  0.994699  0.968989  0.802824
6520        D2   51.6643  0.974096  0.975309  0.997722  0.937484  0.944782  0.995636  0.974903  0.814912
