correct as of April 4 2022
Run	PTRIG1	Cur	ChCorr	pcal	hcal	hcer	aero	htrack	ptrack	TLT	BOIL	FADC	Total
6139	462.3	40.8	98.99	0.96	0.994	0.98	0.968	0.9983	0.9972	0.9816	0.9894	0.9769	0.8550
6140	483.6	43.3	86.93	0.96	0.994	0.98	0.968	0.9982	0.9970	0.9783	0.9887	0.9758	0.8503
6141	484.0	43.3	95.77	0.96	0.994	0.98	0.968	0.9992	0.9974	0.9766	0.9887	0.9758	0.8500
6142	215.2	50.8	20.96	0.96	0.994	0.98	0.968	0.9985	0.9963	0.9838	0.9868	0.9892	0.8648
6144	221.0	50.8	85.22	0.96	0.994	0.98	0.968	0.9981	0.9973	0.9864	0.9868	0.9889	0.8674
6145	418.5	51.3	40.93	0.96	0.994	0.98	0.968	0.9979	0.9972	0.9792	0.9867	0.9791	0.8521
6146	418.8	51.3	8.15	0.96	0.994	0.98	0.968	0.9979	0.9972	0.9813	0.9867	0.9791	0.8539
6154	182.4	21.3	37.50	0.96	0.994	0.98	0.968	0.9980	0.9967	0.9907	0.9945	0.9909	0.8790
6155	29.8	20.8	2.21	0.96	0.994	0.98	0.968	1.0000	1.0000	0.9961	0.9946	0.9985	0.8954
6163	328.9	57.7	48.62	0.96	0.994	0.98	0.968	0.9984	0.9952	0.9818	0.9850	0.9836	0.8556
6164	340.5	37.6	8.86	0.96	0.994	0.98	0.968	0.9982	0.9977	0.9800	0.9902	0.983	0.8600
6166	232.1	54.9	7.94	0.96	0.994	0.98	0.968	0.9995	0.9980	0.9850	0.9857	0.9884	0.8666
6168	54.5	35.8	60.85	0.96	0.994	0.98	0.968	0.9984	0.9959	0.9960	0.9907	0.9973	0.8857
6169	57.7	40.8	4.77	0.96	0.994	0.98	0.968	1.0000	1.0000	0.9960	0.9894	0.9971	0.8895
6170	408.2	25.3	37.12	0.96	0.994	0.98	0.968	0.9984	0.9971	0.9818	0.9934	0.9796	0.8611
6171	408.2	25.3	30.53	0.96	0.994	0.98	0.968	0.9988	0.9971	0.9849	0.9934	0.9796	0.8641
6172	107.2	40.8	40.48	0.96	0.994	0.98	0.968	0.9991	0.9974	0.9960	0.9894	0.9946	0.8841
6174	456.1	56.3	45.14	0.96	0.994	0.98	0.968	0.9984	0.9967	0.9810	0.9854	0.9772	0.8509
6175	455.7	56.3	37.44	0.96	0.994	0.98	0.968	0.9983	0.9967	0.9780	0.9854	0.9772	0.8482
6177	477.0	30.8	51.19	0.96	0.994	0.98	0.968	0.9989	0.9967	0.9801	0.9920	0.9761	0.8553
6178	476.8	30.8	55.83	0.96	0.994	0.98	0.968	0.9987	0.9956	0.9804	0.9920	0.9762	0.8546
6179	464.0	15.3	33.96	0.96	0.994	0.98	0.968	0.9985	0.9962	0.9835	0.9960	0.9768	0.8616
6180	464.6	15.3	30.49	0.96	0.994	0.98	0.968	0.9990	0.9972	0.9804	0.9960	0.9768	0.8602
6181	196.7	40.8	29.86	0.96	0.994	0.98	0.968	0.9978	0.9933	0.9907	0.9894	0.9902	0.8707
6182	196.6	40.8	34.87	0.96	0.994	0.98	0.968	0.9995	0.9990	0.9929	0.9894	0.9902	0.8792
6183	315.3	40.8	56.77	0.96	0.994	0.98	0.968	0.9993	0.9976	0.9864	0.9894	0.9842	0.8668
6184	346.7	40.8	24.00	0.96	0.994	0.98	0.968	0.9993	0.9979	0.9880	0.9894	0.9827	0.8671
6185	506.8	9.3	18.72	0.96	0.994	0.98	0.968	0.9991	0.9973	0.9813	0.9976	0.9747	0.8606
6186	500.7	9.3	26.92	0.96	0.994	0.98	0.968	0.9984	0.9972	0.9827	0.9976	0.975	0.8615
6187	502.9	9.3	26.41	0.96	0.994	0.98	0.968	0.9980	0.9966	0.9830	0.9976	0.9749	0.8606
6188	493.6	17.3	40.11	0.96	0.994	0.98	0.968	0.9983	0.9961	0.9824	0.9955	0.9753	0.8586
6189	492.9	17.3	39.33	0.96	0.994	0.98	0.968	0.9985	0.9972	0.9824	0.9955	0.9754	0.8598
6190	493.5	17.3	37.93	0.96	0.994	0.98	0.968	0.9982	0.9957	0.9822	0.9955	0.9753	0.8580
6192	265.3	61.8	72.59	0.96	0.994	0.98	0.968	0.9986	0.9951	0.9830	0.9839	0.9867	0.8585
6193	265.5	61.8	77.48	0.96	0.994	0.98	0.968	0.9983	0.9958	0.9806	0.9839	0.9867	0.8566
6194	390.8	46.3	52.58	0.96	0.994	0.98	0.968	0.9988	0.9954	0.9776	0.9880	0.9805	0.8523
